DBMS,Rank_Feb-2024,Rank_Jan-2024,Rank_Feb-2023,Database Model,Score_Feb-2024,Score_Jan-2024,Score_Feb-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Dolt,205.0,202.0,203.0,"Relational, Multi-model",1.05,-0.15,-0.06,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
Typesense,206.0,218.0,293.0,Search engine,1.03,+0.00,+0.61,https://db-engines.com/en/system/Typesense,,,"A typo-tolerant, in-memory search engine optimized for instant search-as-you-type experiences and developer productivity",2015.0,,Open Source,GPL V3,no
KeyDB,207.0,239.0,244.0,Key-value,1.02,+0.17,+0.26,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
Xapian,208.0,199.0,197.0,Search engine,1.02,-0.21,-0.17,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.24, November 2023",Open Source,GPLv2,no
Yellowbrick,209.0,221.0,235.0,Relational,0.98,-0.02,+0.12,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
M3DB,210.0,210.0,207.0,Time Series,0.96,-0.14,-0.12,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
NuoDB,211.0,204.0,186.0,Relational,0.95,-0.23,-0.39,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
Actian Vector,212.0,209.0,184.0,Relational,0.95,-0.16,-0.40,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
WebSphere eXtreme Scale,213.0,211.0,205.0,Key-value,0.94,-0.16,-0.14,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
GeoMesa,214.0,222.0,225.0,Spatial,0.92,-0.09,-0.02,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.5, February 2024",Open Source,Apache License 2.0,no
SciDB,215.0,224.0,216.0,Multivalue,0.91,-0.09,-0.10,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no
CrateDB,216.0,223.0,227.0,Multi-model,0.91,-0.09,0.00,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no
IDMS,217.0,215.0,200.0,Navigational,0.9,-0.14,-0.24,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no
Datacom/DB,218.0,228.0,239.0,Relational,0.9,-0.04,+0.12,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
TDSQL for MySQL,219.0,217.0,214.0,"Relational, Multi-model",0.9,-0.13,-0.12,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
Apache Doris,220.0,254.0,245.0,Relational,0.89,+0.14,+0.15,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
solidDB,221.0,214.0,195.0,Relational,0.86,-0.19,-0.37,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no
Amazon Keyspaces,222.0,226.0,228.0,Wide column,0.85,-0.11,-0.06,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes
SQream DB,223.0,225.0,231.0,Relational,0.85,-0.13,-0.05,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no
BigchainDB,224.0,216.0,224.0,Document,0.82,-0.21,-0.12,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
Hibari,225.0,213.0,196.0,Key-value,0.82,-0.23,-0.39,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
Kinetica,226.0,238.0,269.0,"Relational, Multi-model",0.8,-0.06,+0.24,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
ObjectDB,227.0,227.0,230.0,Object oriented,0.79,-0.16,-0.11,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.8.9, September 2023",commercial,,no
eXist-db,228.0,220.0,202.0,Native XML,0.78,-0.23,-0.33,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
Objectivity/DB,229.0,244.0,243.0,Object oriented,0.78,-0.03,+0.02,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
DBISAM,230.0,219.0,215.0,Relational,0.78,-0.24,-0.24,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
Apache Pinot,231.0,243.0,254.0,Relational,0.77,-0.03,+0.11,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no
SQL.JS,232.0,212.0,165.0,Relational,0.77,-0.32,-0.85,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
Alibaba Cloud AnalyticDB for MySQL,233.0,248.0,283.0,"Relational, Multi-model",0.76,-0.02,+0.27,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
Vald,234.0,245.0,,Vector,0.76,-0.04,,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no
Blazegraph,235.0,230.0,198.0,Multi-model,0.75,-0.16,-0.43,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no
Alibaba Cloud MaxCompute,236.0,252.0,279.0,Relational,0.75,-0.02,+0.24,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
BoltDB,237.0,231.0,233.0,Key-value,0.73,-0.17,-0.14,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
Heroic,238.0,249.0,306.0,Time Series,0.71,-0.07,+0.33,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
SearchBlox,239.0,242.0,247.0,Search engine,0.7,-0.13,-0.02,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
OpenInsight,240.0,234.0,236.0,Multivalue,0.69,-0.19,-0.15,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no
HarperDB,241.0,246.0,267.0,Document,0.69,-0.10,+0.13,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no
Graph Engine,242.0,240.0,208.0,Multi-model,0.68,-0.17,-0.40,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no
FrontBase,243.0,237.0,211.0,Relational,0.68,-0.18,-0.36,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
MapDB,244.0,232.0,220.0,Key-value,0.68,-0.22,-0.31,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
eXtremeDB,245.0,233.0,238.0,Multi-model,0.68,-0.21,-0.12,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
RDF4J,246.0,247.0,194.0,RDF,0.67,-0.12,-0.59,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
NexusDB,247.0,235.0,222.0,Relational,0.67,-0.21,-0.31,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no
ScaleArc,248.0,236.0,229.0,Relational,0.66,-0.21,-0.24,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no
GemStone/S,249.0,255.0,262.0,Object oriented,0.66,-0.08,+0.08,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
atoti,250.0,241.0,258.0,Object oriented,0.65,-0.20,+0.03,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
4store,251.0,259.0,242.0,RDF,0.65,-0.06,-0.12,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
KairosDB,252.0,253.0,210.0,Time Series,0.64,-0.13,-0.42,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on,Cassandra,or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no
RisingWave,253.0,257.0,,Relational,0.6,-0.12,,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no
Vespa,254.0,264.0,,Multi-model,0.6,-0.06,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no
VistaDB,255.0,250.0,232.0,Relational,0.59,-0.18,-0.28,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no
Scalaris,256.0,258.0,237.0,Key-value,0.59,-0.12,-0.23,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
Strabon,257.0,265.0,253.0,RDF,0.58,-0.07,-0.10,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Jade,258.0,266.0,290.0,Object oriented,0.58,-0.05,+0.15,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
Kingbase,259.0,262.0,241.0,"Relational, Multi-model",0.57,-0.09,-0.19,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
AlaSQL,260.0,251.0,249.0,Multi-model,0.56,-0.21,-0.15,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
ITTIA,261.0,268.0,266.0,"Time Series, Multi-model",0.56,-0.06,-0.01,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no
Percona Server for MongoDB,262.0,271.0,265.0,Document,0.56,-0.05,-0.01,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
Alibaba Cloud AnalyticDB for PostgreSQL,263.0,280.0,305.0,Relational,0.55,+0.02,+0.17,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
R:BASE,264.0,256.0,234.0,Relational,0.54,-0.18,-0.32,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Splice Machine,265.0,260.0,212.0,Relational,0.54,-0.15,-0.49,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
CnosDB,266.0,229.0,,Time Series,0.54,-0.39,,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
Postgres-XL,267.0,263.0,251.0,"Relational, Multi-model",0.52,-0.14,-0.18,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
Redland,268.0,276.0,277.0,RDF,0.52,-0.05,+0.00,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
Raima Database Manager,269.0,279.0,273.0,Multi-model,0.5,-0.04,-0.03,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
HyperGraphDB,270.0,273.0,297.0,Graph,0.49,-0.10,+0.08,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
Rasdaman,271.0,270.0,250.0,Multivalue,0.48,-0.14,-0.23,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
LokiJS,272.0,272.0,252.0,Document,0.47,-0.13,-0.23,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Project Voldemort,273.0,269.0,264.0,Key-value,0.47,-0.15,-0.10,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Sequoiadb,274.0,275.0,260.0,Multi-model,0.47,-0.12,-0.12,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
ModeShape,275.0,261.0,246.0,Content,0.47,-0.20,-0.26,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
Alibaba Cloud ApsaraDB for PolarDB,276.0,298.0,318.0,Relational,0.44,0.00,+0.10,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
Comdb2,277.0,278.0,270.0,Relational,0.43,-0.10,-0.12,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
RedStore,278.0,287.0,309.0,RDF,0.42,-0.07,+0.06,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
Alibaba Cloud Log Service,279.0,299.0,322.0,Search engine,0.42,-0.01,+0.11,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
Databend,280.0,274.0,,Relational,0.42,-0.16,,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no
Tokyo Tyrant,281.0,302.0,263.0,Key-value,0.41,+0.00,-0.17,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
Mimer SQL,282.0,285.0,289.0,Relational,0.41,-0.09,-0.03,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8B, December 2023",commercial,,no
Lovefield,283.0,267.0,272.0,Relational,0.4,-0.22,-0.13,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
Marqo,284.0,291.0,288.0,Search engine,0.4,-0.07,-0.05,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
Cloudflare Workers KV,285.0,293.0,275.0,Key-value,0.39,-0.06,-0.12,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
InfiniteGraph,286.0,277.0,259.0,Graph,0.38,-0.18,-0.24,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
EJDB,287.0,288.0,280.0,Document,0.37,-0.12,-0.13,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
Kyligence Enterprise,288.0,289.0,285.0,Relational,0.37,-0.11,-0.11,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
Starcounter,289.0,283.0,255.0,Object oriented,0.36,-0.14,-0.28,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
Axibase,290.0,286.0,298.0,Time Series,0.36,-0.13,-0.05,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
OpenQM,291.0,282.0,261.0,Multivalue,0.35,-0.17,-0.23,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
TransLattice,292.0,306.0,284.0,Relational,0.34,-0.07,-0.14,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no
Brytlyt,293.0,311.0,276.0,Relational,0.33,-0.04,-0.18,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no
Speedb,294.0,316.0,313.0,Key-value,0.33,-0.02,-0.02,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no
Actian FastObjects,295.0,281.0,268.0,Object oriented,0.33,-0.20,-0.23,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Tajo,296.0,303.0,248.0,Relational,0.33,-0.08,-0.39,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
AnzoGraph DB,297.0,284.0,344.0,Multi-model,0.32,-0.18,+0.09,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no
Badger,298.0,309.0,371.0,Key-value,0.32,-0.06,+0.20,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
ElevateDB,299.0,322.0,286.0,Relational,0.32,+0.00,-0.14,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no
PieCloudDB,300.0,329.0,389.0,Relational,0.31,+0.03,+0.31,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes
Immudb,301.0,294.0,323.0,"Key-value, Multi-model",0.31,-0.14,+0.00,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no
Fujitsu Enterprise Postgres,302.0,325.0,370.0,"Relational, Multi-model",0.31,+0.01,+0.19,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no
Fluree,303.0,297.0,301.0,Graph,0.3,-0.14,-0.09,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Elassandra,304.0,290.0,257.0,"Wide column, Multi-model",0.3,-0.17,-0.33,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no
TerminusDB,305.0,307.0,315.0,"Graph, Multi-model",0.3,-0.09,-0.04,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no
YDB,306.0,296.0,271.0,Multi-model,0.3,-0.15,-0.25,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
PipelineDB,307.0,295.0,291.0,Relational,0.3,-0.15,-0.12,https://db-engines.com/en/system/PipelineDB,,,"A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon,PostgreSQL,.",2015.0,,Open Source,"BSD, GPL V3",no
MyScale,308.0,310.0,,Multi-model,0.29,-0.09,,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes
Apache Sedona,309.0,301.0,,Spatial,0.29,-0.12,,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and,Apache Spark,with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no
Riak TS,310.0,305.0,296.0,Time Series,0.29,-0.12,-0.12,https://db-engines.com/en/system/Riak+TS,,"Open Source, formerly Basho Technologies","Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,"3.0.0, September 2022",Open Source,,no
Elliptics,311.0,292.0,328.0,Key-value,0.28,-0.19,-0.02,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
Dragonfly,312.0,333.0,,Key-value,0.28,+0.02,,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no
Machbase Neo,313.0,318.0,310.0,Time Series,0.27,-0.06,-0.08,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no
AntDB,314.0,326.0,368.0,Relational,0.27,-0.03,+0.13,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no
LeanXcale,315.0,312.0,312.0,Multi-model,0.27,-0.10,-0.08,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
FlockDB,316.0,308.0,282.0,Graph,0.26,-0.11,-0.23,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
Bangdb,317.0,304.0,316.0,Multi-model,0.25,-0.15,-0.08,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no
Deep Lake,318.0,315.0,,Vector,0.25,-0.10,,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no
Manticore Search,319.0,319.0,327.0,"Search engine, Multi-model",0.25,-0.09,-0.06,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no
Mulgara,320.0,317.0,281.0,RDF,0.24,-0.10,-0.26,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no
Faircom DB,321.0,323.0,367.0,Multi-model,0.24,-0.07,+0.09,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V12, November 2020",commercial,"Restricted, free version available",no
