DBMS,Rank_Mar-2024,Rank_Feb-2024,Rank_Mar-2023,Database Model,Score_Mar-2024,Score_Feb-2024,Score_Mar-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
MatrixOne,204.0,194.0,176.0,Relational,0.97,-0.19,-0.44,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
KeyDB,205.0,207.0,242.0,Key-value,0.94,-0.08,+0.21,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
Yellowbrick,206.0,209.0,216.0,Relational,0.94,-0.04,-0.07,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
NuoDB,207.0,211.0,188.0,Relational,0.94,-0.02,-0.30,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
M3DB,208.0,210.0,214.0,Time Series,0.9,-0.06,-0.11,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
ZODB,209.0,196.0,177.0,Key-value,0.89,-0.26,-0.53,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no
BigchainDB,210.0,224.0,209.0,Document,0.86,+0.05,-0.18,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
Amazon Keyspaces,211.0,222.0,231.0,Wide column,0.86,+0.02,+0.02,https://db-engines.com/en/system/Amazon+Keyspaces,,Amazon,"A scalable, highly available,Cassandra,–compatible database service",2019.0,,commercial,,yes
IDMS,212.0,217.0,181.0,Navigational,0.86,-0.05,-0.50,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no
Datacom/DB,213.0,218.0,230.0,Relational,0.85,-0.05,+0.00,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
TDSQL for MySQL,214.0,219.0,213.0,"Relational, Multi-model",0.85,-0.05,-0.17,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes
1010data,215.0,201.0,191.0,Relational,0.85,-0.26,-0.37,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
Xapian,216.0,208.0,189.0,Search engine,0.84,-0.17,-0.39,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.24, November 2023",Open Source,GPLv2,no
Apache Doris,217.0,220.0,246.0,Relational,0.84,-0.05,+0.16,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
GeoMesa,218.0,214.0,219.0,Spatial,0.82,-0.09,-0.18,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.5, February 2024",Open Source,Apache License 2.0,no
solidDB,219.0,221.0,202.0,Relational,0.82,-0.05,-0.33,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no
Alibaba Cloud MaxCompute,220.0,236.0,270.0,Relational,0.8,+0.05,+0.27,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,Alibaba,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",2016.0,,commercial,,yes
eXist-db,221.0,228.0,211.0,Native XML,0.79,+0.01,-0.24,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
Blazegraph,222.0,235.0,206.0,Multi-model,0.79,+0.04,-0.27,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no
WebSphere eXtreme Scale,223.0,213.0,208.0,Key-value,0.78,-0.16,-0.26,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
Alibaba Cloud AnalyticDB for MySQL,224.0,233.0,272.0,"Relational, Multi-model",0.77,+0.01,+0.25,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
Actian Vector,225.0,212.0,199.0,Relational,0.77,-0.18,-0.41,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
CrateDB,226.0,216.0,237.0,Multi-model,0.76,-0.15,-0.06,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,,Open Source,,no
Objectivity/DB,227.0,229.0,240.0,Object oriented,0.75,-0.02,-0.03,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
Hibari,228.0,225.0,192.0,Key-value,0.75,-0.07,-0.47,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
Kinetica,229.0,226.0,255.0,"Relational, Multi-model",0.74,-0.06,+0.11,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
DBISAM,230.0,230.0,193.0,Relational,0.74,-0.04,-0.48,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
Apache Pinot,231.0,231.0,257.0,Relational,0.73,-0.04,+0.12,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no
SciDB,232.0,215.0,212.0,Multivalue,0.73,-0.18,-0.29,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no
ObjectDB,233.0,227.0,220.0,Object oriented,0.73,-0.07,-0.25,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.8.9, September 2023",commercial,,no
RDF4J,234.0,246.0,203.0,RDF,0.72,+0.05,-0.43,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
SQream DB,235.0,223.0,238.0,Relational,0.72,-0.13,-0.10,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no
Vald,236.0,234.0,,Vector,0.71,-0.05,,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no
BoltDB,237.0,237.0,232.0,Key-value,0.69,-0.04,-0.15,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
KairosDB,238.0,252.0,223.0,Time Series,0.69,+0.05,-0.26,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on,Cassandra,or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no
eXtremeDB,239.0,245.0,235.0,Multi-model,0.66,-0.02,-0.17,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
FrontBase,240.0,243.0,205.0,Relational,0.65,-0.03,-0.48,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
Graph Engine,241.0,242.0,224.0,Multi-model,0.64,-0.05,-0.30,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no
Heroic,242.0,238.0,285.0,Time Series,0.63,-0.07,+0.19,https://db-engines.com/en/system/Heroic,,Spotify,"Time Series DBMS built at Spotify based on,Cassandra,or,Google Cloud Bigtable,, and,ElasticSearch",2014.0,,Open Source,Apache 2.0,no
SQL.JS,243.0,232.0,183.0,Relational,0.63,-0.14,-0.71,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
Scalaris,244.0,256.0,241.0,Key-value,0.63,+0.04,-0.11,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
MapDB,245.0,244.0,225.0,Key-value,0.61,-0.07,-0.31,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
Percona Server for MongoDB,246.0,262.0,269.0,Document,0.6,+0.04,+0.07,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
Alibaba Cloud AnalyticDB for PostgreSQL,247.0,263.0,294.0,Relational,0.59,+0.04,+0.20,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
NexusDB,248.0,247.0,218.0,Relational,0.59,-0.08,-0.41,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no
atoti,249.0,250.0,233.0,Object oriented,0.56,-0.08,-0.27,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
Vespa,250.0,254.0,,Multi-model,0.56,-0.03,,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS",Yahoo,"Vespa is a search engine and vector DBMS. It supports vector search (ANN), lexical search, and search in structured data.",,,Open Source,Apache-2.0 license,no
GemStone/S,251.0,249.0,264.0,Object oriented,0.56,-0.10,-0.02,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
RisingWave,252.0,253.0,,Relational,0.56,-0.04,,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"1.2, September 2023",Open Source,Apache Version 2.0,no
Postgres-XL,253.0,267.0,253.0,"Relational, Multi-model",0.56,+0.03,-0.08,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
VistaDB,254.0,255.0,234.0,Relational,0.55,-0.04,-0.28,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no
HarperDB,255.0,241.0,283.0,Document,0.55,-0.14,+0.09,https://db-engines.com/en/system/HarperDB,,HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,2017.0,"3.1, August 2021",commercial,free community edition available,no
R:BASE,256.0,264.0,229.0,Relational,0.54,0.00,-0.33,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Splice Machine,257.0,265.0,226.0,Relational,0.54,0.00,-0.34,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
AlaSQL,258.0,260.0,245.0,Multi-model,0.53,-0.03,-0.16,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
LokiJS,259.0,272.0,266.0,Document,0.52,+0.05,-0.03,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Raima Database Manager,260.0,269.0,261.0,Multi-model,0.52,+0.02,-0.07,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Jade,261.0,258.0,284.0,Object oriented,0.52,-0.06,+0.06,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no
SearchBlox,262.0,239.0,248.0,Search engine,0.51,-0.19,-0.16,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
OpenInsight,263.0,240.0,227.0,Multivalue,0.51,-0.18,-0.37,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no
Sequoiadb,264.0,274.0,279.0,Multi-model,0.5,+0.04,+0.03,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
ScaleArc,265.0,248.0,236.0,Relational,0.5,-0.16,-0.32,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no
Alibaba Cloud ApsaraDB for PolarDB,266.0,276.0,304.0,Relational,0.49,+0.05,+0.16,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,Alibaba,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes
4store,267.0,251.0,250.0,RDF,0.49,-0.15,-0.17,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
Alibaba Cloud Log Service,268.0,279.0,307.0,Search engine,0.46,+0.04,+0.15,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
Redland,269.0,268.0,258.0,RDF,0.46,-0.06,-0.16,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
Strabon,270.0,257.0,243.0,RDF,0.45,-0.13,-0.25,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Kingbase,271.0,259.0,256.0,"Relational, Multi-model",0.45,-0.12,-0.16,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
ModeShape,272.0,275.0,247.0,Content,0.43,-0.03,-0.25,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
Rasdaman,273.0,271.0,251.0,Multivalue,0.43,-0.05,-0.22,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
CnosDB,274.0,266.0,,Time Series,0.42,-0.12,,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
Kyligence Enterprise,275.0,288.0,292.0,Relational,0.4,+0.04,+0.01,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
Brytlyt,276.0,293.0,288.0,Relational,0.4,+0.07,-0.03,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no
ITTIA,277.0,261.0,260.0,"Time Series, Multi-model",0.4,-0.16,-0.20,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no
OpenQM,278.0,291.0,262.0,Multivalue,0.38,+0.02,-0.21,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no
InfiniteGraph,279.0,286.0,271.0,Graph,0.37,-0.01,-0.16,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
Fujitsu Enterprise Postgres,280.0,302.0,372.0,"Relational, Multi-model",0.36,+0.05,+0.24,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no
YDB,281.0,306.0,286.0,Multi-model,0.36,+0.06,-0.08,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
ElevateDB,282.0,299.0,289.0,Relational,0.36,+0.04,-0.05,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no
Marqo,283.0,284.0,298.0,Search engine,0.35,-0.05,-0.02,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
PieCloudDB,284.0,300.0,384.0,Relational,0.35,+0.03,+0.33,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes
Starcounter,285.0,289.0,259.0,Object oriented,0.35,-0.02,-0.26,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
Lovefield,286.0,283.0,263.0,Relational,0.35,-0.06,-0.23,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no
LeanXcale,287.0,315.0,322.0,Multi-model,0.33,+0.07,+0.07,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
Project Voldemort,288.0,273.0,265.0,Key-value,0.33,-0.14,-0.24,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Dragonfly,289.0,312.0,,Key-value,0.33,+0.05,,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no
Cloudflare Workers KV,290.0,285.0,287.0,Key-value,0.33,-0.06,-0.10,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
Mimer SQL,291.0,282.0,280.0,Relational,0.33,-0.08,-0.15,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8B, December 2023",commercial,,no
Axibase,292.0,290.0,296.0,Time Series,0.33,-0.03,-0.05,https://db-engines.com/en/system/Axibase,,Axibase Corporation,"Scalable TimeSeries DBMS based on,HBase,with integrated rule engine and visualization",2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no
FeatureBase,293.0,325.0,295.0,Relational,0.32,+0.09,-0.07,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
HyperGraphDB,294.0,270.0,299.0,Graph,0.31,-0.17,-0.05,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no
AnzoGraph DB,295.0,297.0,325.0,Multi-model,0.31,-0.01,+0.06,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no
Databend,296.0,280.0,,Relational,0.31,-0.10,,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no
Comdb2,297.0,277.0,278.0,Relational,0.31,-0.12,-0.17,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
Faircom DB,298.0,321.0,351.0,Multi-model,0.31,+0.07,+0.13,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V12, November 2020",commercial,"Restricted, free version available",no
Tajo,299.0,296.0,249.0,Relational,0.31,-0.02,-0.37,https://db-engines.com/en/system/Tajo,,Apache Software Foundation,SQL on Hadoop,2012.0,,Open Source,Apache Version 2,no
AntDB,300.0,314.0,355.0,Relational,0.3,+0.03,+0.13,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no
Fluree,301.0,303.0,311.0,Graph,0.3,0.00,0.00,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
EJDB,302.0,287.0,275.0,Document,0.3,-0.07,-0.20,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no
YottaDB,303.0,324.0,,"Key-value, Multi-model",0.3,+0.07,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no
Elassandra,304.0,304.0,252.0,"Wide column, Multi-model",0.29,-0.01,-0.36,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",,,Open Source,Apache Version 2.0,no
Immudb,305.0,301.0,321.0,"Key-value, Multi-model",0.28,-0.03,+0.02,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no
Apache Sedona,306.0,309.0,,Spatial,0.28,-0.01,,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and,Apache Spark,with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no
Machbase Neo,307.0,313.0,305.0,Time Series,0.28,+0.00,-0.05,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no
Riak TS,308.0,310.0,317.0,Time Series,0.28,-0.01,0.00,https://db-engines.com/en/system/Riak+TS,,"Open Source, formerly Basho Technologies","Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,"3.0.0, September 2022",Open Source,,no
PipelineDB,309.0,307.0,300.0,Relational,0.27,-0.02,-0.07,https://db-engines.com/en/system/PipelineDB,,,"A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon,PostgreSQL,.",2015.0,,Open Source,"BSD, GPL V3",no
RedStore,310.0,278.0,297.0,RDF,0.26,-0.16,-0.11,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
EsgynDB,311.0,335.0,354.0,Relational,0.26,+0.09,+0.08,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
Manticore Search,312.0,319.0,312.0,"Search engine, Multi-model",0.26,+0.01,-0.05,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no
Actian FastObjects,313.0,295.0,267.0,Object oriented,0.25,-0.08,-0.30,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Elliptics,314.0,311.0,332.0,Key-value,0.25,-0.03,+0.02,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no
Badger,315.0,298.0,371.0,Key-value,0.25,-0.07,+0.13,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
Tokyo Tyrant,316.0,281.0,276.0,Key-value,0.25,-0.16,-0.25,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no
RDFox,317.0,323.0,319.0,Multi-model,0.25,+0.02,-0.02,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
Kyoto Tycoon,318.0,328.0,365.0,Key-value,0.25,+0.03,+0.09,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
Speedb,319.0,294.0,301.0,Key-value,0.25,-0.09,-0.09,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no
IBM Db2 Event Store,320.0,336.0,370.0,Multi-model,0.25,+0.08,+0.11,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
FlockDB,321.0,316.0,290.0,Graph,0.24,-0.02,-0.16,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no
