DBMS,category_label,Multi_model_info,DBMS_insitelink,has_github_repo,has_company,github_repo_link,Score_Aug-2024,Rank_Aug-2024,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial,Time Series,Vector,Wide column,Columnar,Spatial DBMS,Vector DBMS
NCache,Key-value,"Key-value store,Document store,Search engine",https://db-engines.com/en/system/NCache,Y,,Alachisoft/NCache,0.89,199,Alachisoft,NCache,Alachisoft,2005,2024,Y,Enterprise Edition available,N,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
NuoDB,Relational,Relational DBMS,https://db-engines.com/en/system/NuoDB,N,,-,0.89,200,-,-,Dassault Systèmes,2013,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Altibase,Relational,Relational DBMS,https://db-engines.com/en/system/Altibase,Y,,ALTIBASE/altibase,0.89,201,ALTIBASE,altibase,Altibase,1999,2023,N,Open source edition discontinued with March 2023,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Vitess,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Vitess,Y,,vitessio/vitess,0.88,202,vitessio,vitess,"The Linux Foundation, PlanetScale",2013,2022,Y,"Apache Version 2.0, commercial licenses available",N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
AllegroGraph,Document,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",https://db-engines.com/en/system/AllegroGraph,N,,-,0.87,203,-,-,Franz Inc.,2004,2023,N,Limited community edition free,N,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1.0,0.0
MatrixOne,Relational,Relational DBMS,https://db-engines.com/en/system/MatrixOne,Y,,matrixorigin/matrixone,0.86,204,matrixorigin,matrixone,,2021,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
HPE Ezmeral Data Fabric,Document,"Document store,Wide column store",https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,N,,-,0.86,205,-,-,"HPE, MapR Technologies, Inc",2009,,N,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
Yellowbrick,Relational,Relational DBMS,https://db-engines.com/en/system/Yellowbrick,N,,-,0.86,206,-,-,Yellowbrick Data,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Alibaba Cloud PolarDB,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+PolarDB,,,,0.84,207,,,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
GeoMesa,Spatial,Spatial DBMS,https://db-engines.com/en/system/GeoMesa,Y,,geomesa/geomesa-geoserver,0.82,208,geomesa,geomesa-geoserver,CCRi and others,2014,2024,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0
Alibaba Cloud MaxCompute,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,N,,-,0.81,209,-,-,Alibaba,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ZODB,Key-value,Key-value store,https://db-engines.com/en/system/ZODB,Y,,zopefoundation/ZODB,0.81,210,zopefoundation,ZODB,,2009,2023,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Alibaba Cloud AnalyticDB for PostgreSQL,Relational,Relational DBMS,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,N,,-,0.81,211,-,-,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Model 204,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Model+204,N,,-,0.79,212,-,-,,1972,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
BigchainDB,Document,Document store,https://db-engines.com/en/system/BigchainDB,Y,,bigchaindb/bigchaindb,0.78,213,bigchaindb,bigchaindb,,2016,,Y,AGPL v3,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Typesense,Search engine,Search engine,https://db-engines.com/en/system/Typesense,Y,,typesense/typesense,0.78,214,typesense,typesense,,2015,,Y,GPL V3,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
eXist-db,Native XML,Native XML DBMS,https://db-engines.com/en/system/eXist-db,Y,,eXist-db/exist,0.76,215,eXist-db,exist,,2000,,Y,L-GPL,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Blazegraph,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/Blazegraph,Y,,blazegraph/database,0.75,216,blazegraph,database,Blazegraph,2006,2019,Y,extended commercial license available,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Actian Vector,Relational,Relational DBMS,https://db-engines.com/en/system/Actian+Vector,N,,-,0.75,217,-,-,,,2016,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Datacom/DB,Relational,Relational DBMS,https://db-engines.com/en/system/Datacom%2FDB,N,,-,0.75,218,-,-,Broadcom (formerly CA),1972,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Northgate Reality,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Northgate+Reality,N,,-,0.74,219,-,-,,1973,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SciDB,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/SciDB,Y,,cran/scidb,0.74,220,cran,scidb,Paradigm4,2008,,Y,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
BoltDB,Key-value,Key-value store,https://db-engines.com/en/system/BoltDB,Y_archivedas_boltdb/bolt,N,boltdb/bolt,0.73,221,boltdb,bolt,,2013,,Y,MIT License,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Xapian,Search engine,Search engine,https://db-engines.com/en/system/Xapian,Y,,xapian/xapian,0.73,222,xapian,xapian,,1986,2024,Y,GPLv2,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
CrateDB,Document,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",https://db-engines.com/en/system/CrateDB,Y,,crate/crate,0.69,223,crate,crate,Crate,2013,2024,Y,,N,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.0,0.0
eXtremeDB,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/eXtremeDB,N,,-,0.69,224,-,-,McObject,2001,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
1010data,Relational,Relational DBMS,https://db-engines.com/en/system/1010data,N,,-,0.69,225,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
RDF4J,RDF,RDF store,https://db-engines.com/en/system/RDF4J,Y,Y,eclipse/rdf4j,0.68,226,eclipse,rdf4j,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.",2004,,Y,"Eclipse Distribution License (EDL), v1.0.",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
WebSphere eXtreme Scale,Key-value,Key-value store,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,N,,-,0.67,227,-,-,,2009,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DBISAM,Relational,Relational DBMS,https://db-engines.com/en/system/DBISAM,N,,-,0.67,228,-,-,"Elevate Software, Inc.",1998,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Objectivity/DB,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Objectivity%2FDB,N,,-,0.66,229,-,-,,1990,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
KeyDB,Key-value,Key-value store,https://db-engines.com/en/system/KeyDB,Y,,Snapchat/KeyDB,0.66,230,Snapchat,KeyDB,EQ Alpha Technology Ltd.,2019,,Y,BSD-3,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
TypeDB,Graph,"Graph DBMS,Object oriented DBMS,Relational DBMS",https://db-engines.com/en/system/TypeDB,Y,,vaticle/typedb,0.65,231,vaticle,typedb,Vaticle,2016,2024,Y,"GPL Version 3, commercial licenses available",N,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0
solidDB,Relational,Relational DBMS,https://db-engines.com/en/system/solidDB,N,,-,0.65,232,-,-,"Unicom Systems, Inc; IBM",1992,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
RisingWave,Relational,Relational DBMS,https://db-engines.com/en/system/RisingWave,Y,,risingwavelabs/risingwave,0.63,233,risingwavelabs,risingwave,RisingWave Labs,2022,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,
ObjectDB,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/ObjectDB,N,,-,0.63,234,-,-,,2010,2024,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
SQream DB,Relational,Relational DBMS,https://db-engines.com/en/system/SQream+DB,N,,-,0.63,235,-,-,SQream Technologies,2017,2022,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
KairosDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/KairosDB,Y,,kairosdb/kairosdb,0.62,236,kairosdb,kairosdb,,2013,2018,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
FrontBase,Relational,Relational DBMS,https://db-engines.com/en/system/FrontBase,N,,-,0.62,237,-,-,,1993,2015,N,free licenses,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Graph Engine,Graph,"Graph DBMS,Key-value store",https://db-engines.com/en/system/Graph+Engine,Y,,microsoft/GraphEngine,0.59,238,microsoft,GraphEngine,Microsoft,2010,,Y,MIT License,N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Vespa,Search engine,"Search engine,Vector DBMS",https://db-engines.com/en/system/Vespa,Y,,vespa-engine/vespa,0.59,239,vespa-engine,vespa,Yahoo,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
HarperDB,Document,Document store,https://db-engines.com/en/system/HarperDB,N,,-,0.56,240,-,-,HarperDB,2017,2021,N,free community edition available,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
NexusDB,Relational,Relational DBMS,https://db-engines.com/en/system/NexusDB,N,,-,0.56,241,-,-,,2003,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Apache Doris,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Doris,Y,Y,apache/doris,0.55,242,apache,doris,"Apache Software Foundation, originally contributed from Baidu",2017,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
4store,RDF,RDF store,https://db-engines.com/en/system/4store,Y,,4store/4store,0.55,243,4store,4store,,2009,,Y,GPLv3,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
R:BASE,Relational,Relational DBMS,https://db-engines.com/en/system/R%3ABASE,N,,-,0.55,244,-,-,,1981,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Splice Machine,Relational,Relational DBMS,https://db-engines.com/en/system/Splice+Machine,Y,,splicemachine/spliceengine,0.54,245,splicemachine,spliceengine,Splice Machine,2014,2021,Y,"AGPL 3.0, commercial license available",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Percona Server for MongoDB,Document,Document store,https://db-engines.com/en/system/Percona+Server+for+MongoDB,Y_replacementfor_MongoDB,N,percona/percona-server-mongodb,0.54,246,percona,percona-server-mongodb,Percona,2015,2017,Y,GPL Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SQL.JS,Relational,Relational DBMS,https://db-engines.com/en/system/SQL.JS,Y,,sql-js/sql.js,0.54,247,sql-js,sql.js,Alon Zakai,2012,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Scalaris,Key-value,Key-value store,https://db-engines.com/en/system/Scalaris,Y,N,scalaris-team/scalaris,0.51,248,scalaris-team,scalaris,,2010,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hibari,Key-value,Key-value store,https://db-engines.com/en/system/Hibari,Y,,hibari/hibari,0.51,249,hibari,hibari,,2005,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Perst,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Perst,Y,,The-Alchemist/perst,0.49,250,The-Alchemist,perst,,2003,,Y,commercial license available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
LokiJS,Document,Document store,https://db-engines.com/en/system/LokiJS,Y,,techfort/LokiJS,0.49,251,techfort,LokiJS,,2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
atoti,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/atoti,Y_IssueTracking,,atoti/atoti,0.49,252,atoti,atoti,ActiveViam,,,N,free versions available,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
GemStone/S,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/GemStone%2FS,N,,-,0.49,253,-,-,,1986,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
MapDB,Key-value,Key-value store,https://db-engines.com/en/system/MapDB,Y,,jankotek/mapdb,0.48,254,jankotek,mapdb,,2002,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kinetica,Relational,"Relational DBMS,Spatial DBMS,Time Series DBMS",https://db-engines.com/en/system/Kinetica,N,,-,0.47,255,-,-,Kinetica,2012,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0
AlaSQL,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/AlaSQL,Y,,AlaSQL/alasql,0.47,256,AlaSQL,alasql,Andrey Gershun & Mathias R. Wulff,2014,,Y,MIT-License,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Postgres-XL,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Postgres-XL,Y,,Postgres-XL/Postgres-XL,0.46,257,Postgres-XL,Postgres-XL,,2014,2018,Y,Mozilla public license,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Sequoiadb,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/Sequoiadb,Y,,SequoiaDB/SequoiaDB,0.45,258,SequoiaDB,SequoiaDB,Sequoiadb Ltd.,2013,,Y,Server: AGPL; Client: Apache V2,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
VistaDB,Relational,Relational DBMS,https://db-engines.com/en/system/VistaDB,N,,-,0.45,259,-,-,Gibraltar Software,2008,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ScaleArc,Relational,Relational DBMS,https://db-engines.com/en/system/ScaleArc,N,,-,0.44,260,-,-,Ignite,2009,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Tajo,Relational,Relational DBMS,https://db-engines.com/en/system/Tajo,Y_archivedas_apache/tajo,N,apache/tajo,0.44,261,apache,tajo,Apache Software Foundation,2012,,Y,Apache Version 2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Kingbase,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Kingbase,N,,-,0.43,262,-,-,BeiJing KINGBASE Information technologies inc.,1999,2021,N,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Alibaba Cloud Log Service,Search engine,Search engine,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,N,,-,0.42,263,-,-,AlibabaCloud Inc.,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Dragonfly,Key-value,Key-value store,https://db-engines.com/en/system/Dragonfly,Y,,dragonflydb/dragonfly,0.42,264,dragonflydb,dragonfly,DragonflyDB team and community contributors,2023,2023,Y,BSL 1.1,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Rasdaman,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/Rasdaman,Y,,dioptre/rasdaman,0.42,265,dioptre,rasdaman,,1998,2019,Y,extended commercial license available,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Raima Database Manager,Relational,"Relational DBMS,Time Series DBMS",https://db-engines.com/en/system/Raima+Database+Manager,N,,-,0.4,266,-,-,Raima Inc.,1984,2021,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
OpenInsight,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/OpenInsight,N,,-,0.4,267,-,-,Revelation Software,1992,2018,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Kyligence Enterprise,Relational,Relational DBMS,https://db-engines.com/en/system/Kyligence+Enterprise,N,,-,0.39,268,-,-,"Kyligence, Inc.",2016,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Strabon,RDF,RDF store,https://db-engines.com/en/system/Strabon,Y,,esarbanis/strabon,0.39,269,esarbanis,strabon,,2011,,Y,Mozilla public license,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
ITTIA,Time Series,"Time Series DBMS,Relational DBMS",https://db-engines.com/en/system/ITTIA,N,,-,0.38,270,-,-,ITTIA L.L.C.,2007,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0
Vald,Vector,Vector DBMS,https://db-engines.com/en/system/Vald,Y,,vdaas/vald,0.37,271,vdaas,vald,,,,Y,Apache-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Apache Pinot,Relational,Relational DBMS,https://db-engines.com/en/system/Apache+Pinot,Y,N,apache/pinot,0.37,272,apache,pinot,Apache Software Foundation and contributors,2015,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
YDB,Document,"Document store,Relational DBMS",https://db-engines.com/en/system/YDB,Y,N,ydb-platform/ydb,0.36,273,ydb-platform,ydb,Yandex,2019,,Y,Apache 2.0; commercial license available,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
ModeShape,Content,Content stores,https://db-engines.com/en/system/ModeShape,Y,,ModeShape/modeshape,0.36,274,ModeShape,modeshape,,2010,,Y,Apache Version 2,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Marqo,Search engine,Search engine,https://db-engines.com/en/system/Marqo,Y,,marqo-ai/marqo,0.35,275,marqo-ai,marqo,,2022,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Project Voldemort,Key-value,Key-value store,https://db-engines.com/en/system/Project+Voldemort,Y,,voldemort/voldemort,0.33,276,voldemort,voldemort,,2009,2017,Y,Apache version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
CnosDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/CnosDB,Y,,cnosdb/cnosdb,0.33,277,cnosdb,cnosdb,,2022,2023,Y,AGPL 3.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
InfiniteGraph,Graph,Graph DBMS,https://db-engines.com/en/system/InfiniteGraph,N,,-,0.33,278,-,-,,2010,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Actian FastObjects,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Actian+FastObjects,N,,-,0.32,279,-,-,Actian,,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
Apache Sedona,Spatial,Spatial DBMS,https://db-engines.com/en/system/Apache+Sedona,Y,,apache/sedona,0.32,280,apache,sedona,Apache Software Foundation and contributors,2020,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,
Comdb2,Relational,Relational DBMS,https://db-engines.com/en/system/Comdb2,Y,,bloomberg/comdb2,0.32,281,bloomberg,comdb2,Bloomberg Finance L.P.,2004,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Cloudflare Workers KV,Key-value,Key-value store,https://db-engines.com/en/system/Cloudflare+Workers+KV,N,,-,0.32,282,-,-,Cloudflare,2018,,N,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
LeanXcale,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/LeanXcale,N,,-,0.32,283,-,-,LeanXcale,2015,,N,,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
SearchBlox,Search engine,Search engine,https://db-engines.com/en/system/SearchBlox,N,,-,0.32,284,-,-,,2003,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
Brytlyt,Relational,Relational DBMS,https://db-engines.com/en/system/Brytlyt,N,,-,0.32,285,-,-,Brytlyt,2016,2023,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
PieCloudDB,Relational,Relational DBMS,https://db-engines.com/en/system/PieCloudDB,N,,-,0.31,286,-,-,OpenPie,,2023,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Fluree,Graph,Graph DBMS,https://db-engines.com/en/system/Fluree,Y,,fluree/db,0.31,287,fluree,db,"Fluree, PBC",2018,,Y,open-sourced in October 2020,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
OpenQM,Multivalue,Multivalue DBMS,https://db-engines.com/en/system/OpenQM,Y,,gregjurman/openqm,0.3,288,gregjurman,openqm,"Rocket Software, originally Martin Phillips",1993,,Y,"GPLv2, extended commercial license available",N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Databend,Relational,Relational DBMS,https://db-engines.com/en/system/Databend,Y,,datafuselabs/databend,0.29,289,datafuselabs,databend,Databend Labs,2021,2023,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Redland,RDF,RDF store,https://db-engines.com/en/system/Redland,Y,,dajobe/librdf,0.29,290,dajobe,librdf,,2000,,Y,"Multi License (LGPL, GPLv2, Apache V2)",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Fujitsu Enterprise Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,N,,-,0.29,291,-,-,"PostgreSQL Global Development Group, Fujitsu Australia Software Technology",,2022,N,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.0
Elassandra,Wide column,"Wide column store,Search engine",https://db-engines.com/en/system/Elassandra,Y,,strapdata/elassandra,0.29,292,strapdata,elassandra,,,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0
Starcounter,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Starcounter,N,,-,0.29,293,-,-,,2006,2018,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
RedStore,RDF,RDF store,https://db-engines.com/en/system/RedStore,Y,,njh/redstore,0.28,294,njh,redstore,,2009,,Y,GPLv3,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Axibase,Time Series,Time Series DBMS,https://db-engines.com/en/system/Axibase,N,,-,0.28,295,-,-,Axibase Corporation,2013,1558,N,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
Deep Lake,Vector,Vector DBMS,https://db-engines.com/en/system/Deep+Lake,Y,,activeloopai/deeplake,0.28,296,activeloopai,deeplake,Activeloop,,,Y,MPL-2.0 license,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0
Immudb,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Immudb,Y,,codenotary/immudb,0.27,297,codenotary,immudb,Codenotary,2020,2022,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
FeatureBase,Relational,Relational DBMS,https://db-engines.com/en/system/FeatureBase,Y_CommunityEdition,,featurebasedb/featurebase,0.27,298,featurebasedb,featurebase,Molecula and Pilosa Open Source Contributors,2017,2022,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
PipelineDB,Relational,Relational DBMS,https://db-engines.com/en/system/PipelineDB,Y,,pipelinedb/pipelinedb,0.27,299,pipelinedb,pipelinedb,,2015,,Y,"BSD, GPL V3",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
AnzoGraph DB,Graph,"Graph DBMS,RDF store",https://db-engines.com/en/system/AnzoGraph+DB,N,,-,0.26,300,-,-,Cambridge Semantics,2018,2021,N,free trial version available,N,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
Mimer SQL,Relational,Relational DBMS,https://db-engines.com/en/system/Mimer+SQL,N,,-,0.25,301,-,-,,1977,2024,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Lovefield,Relational,Relational DBMS,https://db-engines.com/en/system/Lovefield,Y,,google/lovefield,0.25,302,google,lovefield,Google,2014,2017,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
Heroic,Time Series,Time Series DBMS,https://db-engines.com/en/system/Heroic,Y_archivedas_spotify/heroic,N,spotify/heroic,0.25,303,spotify,heroic,Spotify,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0
